code,description,type
0001F,HEART FAILURE COMPOSITE,3
0005F,OSTEOARTHRITIS COMPOSITE,3
00100,ANESTH SALIVARY GLAND,3
00102,ANESTH REPAIR OF CLEFT LIP,3
00103,ANESTH BLEPHAROPLASTY,3
00104,ANESTH ELECTROSHOCK,3
00120,ANESTH EAR SURGERY,3
00124,ANESTH EAR EXAM,3
00126,ANESTH TYMPANOTOMY,3
0012F,CAP BACTERIAL ASSESS,3
00140,ANESTH PROCEDURES ON EYE,3
00142,ANESTH LENS SURGERY,3
00144,ANESTH CORNEAL TRANSPLANT,3
00145,ANESTH VITREORETINAL SURG,3
00147,ANESTH IRIDECTOMY,3
00148,ANESTH EYE EXAM,3
0014F,COMP PREOP ASSESS CAT SURG,3
0015F,MELAN FOLLOW-UP COMPLETE,3
00160,ANESTH NOSE/SINUS SURGERY,3
00162,ANESTH NOSE/SINUS SURGERY,3
00164,ANESTH BIOPSY OF NOSE,3
00170,ANESTH PROCEDURE ON MOUTH,3
00172,ANESTH CLEFT PALATE REPAIR,3
00174,ANESTH PHARYNGEAL SURGERY,3
00176,ANESTH PHARYNGEAL SURGERY,3
00190,ANESTH FACE/SKULL BONE SURG,3
00192,ANESTH FACIAL BONE SURGERY,3
00210,ANESTH CRANIAL SURG NOS,3
00211,ANESTH CRAN SURG HEMOTOMA,3
00212,ANESTH SKULL DRAINAGE,3
00214,ANESTH SKULL DRAINAGE,3
00215,ANESTH SKULL REPAIR/FRACT,3
00216,ANESTH HEAD VESSEL SURGERY,3
00218,ANESTH SPECIAL HEAD SURGERY,3
00220,ANESTH INTRCRN NERVE,3
00222,ANESTH HEAD NERVE SURGERY,3
00300,ANESTH HEAD/NECK/PTRUNK,3
00320,ANESTH NECK ORGAN 1YR/>,3
00322,ANESTH BIOPSY OF THYROID,3
00326,ANESTH LARYNX/TRACH < 1 YR,3
00350,ANESTH NECK VESSEL SURGERY,3
00352,ANESTH NECK VESSEL SURGERY,3
00400,ANESTH SKIN EXT/PER/ATRUNK,3
00402,ANESTH SURGERY OF BREAST,3
00404,ANESTH SURGERY OF BREAST,3
00406,ANESTH SURGERY OF BREAST,3
00410,ANESTH CORRECT HEART RHYTHM,3
0042T,CT PERFUSION W/CONTRAST CBF,3
00450,ANESTH SURGERY OF SHOULDER,3
00454,ANESTH COLLAR BONE BIOPSY,3
00470,ANESTH REMOVAL OF RIB,3
00472,ANESTH CHEST WALL REPAIR,3
00474,ANESTH SURGERY OF RIB,3
00500,ANESTH ESOPHAGEAL SURGERY,3
00520,ANESTH CHEST PROCEDURE,3
00522,ANESTH CHEST LINING BIOPSY,3
00524,ANESTH CHEST DRAINAGE,3
00528,ANES MEDIASCPY & DX THORSCPY,3
00529,ANES MEDSCPY&THORSCPY 1 LUNG,3
00530,ANESTH PACEMAKER INSERTION,3
00532,ANESTH VASCULAR ACCESS,3
00534,ANESTH CARDIOVERTER/DEFIB,3
00537,ANESTH CARDIAC ELECTROPHYS,3
00539,ANESTH TRACH-BRONCH RECONST,3
00540,ANESTH CHEST SURGERY,3
00541,ANESTH ONE LUNG VENTILATION,3
00542,ANESTHESIA REMOVAL PLEURA,3
00546,ANESTH LUNG CHEST WALL SURG,3
00548,ANESTH TRACHEA BRONCHI SURG,3
0054T,BONE SRGRY CMPTR FLUOR IMAGE,3
00550,ANESTH STERNAL DEBRIDEMENT,3
0055T,BONE SRGRY CMPTR CT/MRI IMAG,3
00560,ANESTH HEART SURG W/O PUMP,3
