facility_code,name,city,country,status
DHA-F-0046760,"1847 EXECUTIVE GROOMING FOR MEN",Dubai,UAE,ACTIVE
DHA-F-3803369,"21ST CENTURY MEDICARE POLY CLINIC L.L.C",Dubai,UAE,ACTIVE
DHA-F-0209327,"23MD CLINIC L.L.C",Dubai,UAE,ACTIVE
DHA-F-0000745,"24 HOURS DENTAL CLINIC LLC",Dubai,UAE,ACTIVE
DHA-F-6446544,"24 SEVEN HOME CARE LLC",Dubai,UAE,ACTIVE
DHA-F-0047306,"32 CARE GREEN PHARMACY(L.L.C)",Dubai,UAE,ACTIVE
DHA-F-0047520,"32 CARE MEDICAL CENTER (BR)",Dubai,UAE,ACTIVE
DHA-F-0047451,"32 CARE MEDICAL CENTRE",Dubai,UAE,ACTIVE
DHA-F-0047875,"32 CARE ORANGE PHARMACY (L.L.C)",Dubai,UAE,ACTIVE
DHA-F-0046995,"32 CARE PHARMACY (L.L.C)",Dubai,UAE,ACTIVE
DHA-F-0047780,"32 CARE WHITE PHARMACY",Dubai,UAE,ACTIVE
DHA-F-0000053,"32 SMILE STONES DENTAL CARE CENTER L.LC",Dubai,UAE,ACTIVE
DHA-F-2636660,"360 MEDICAL CENTER",Dubai,UAE,ACTIVE
DHA-F-6482933,"800 PHARMA FZ-LLC",Dubai,UAE,ACTIVE
DHA-F-1467802,"800 PHARMA Pharmacy LLC",Dubai,UAE,ACTIVE
DHA-F-2783042,"800 PHARMACY ARJAN (BR OF 800 PHARMACY LLC)",Dubai,UAE,ACTIVE
DHA-F-4533492,"800 PHARMACY CIRCLE (BR OF 800 PHARMACY LLC)",Dubai,UAE,ACTIVE
DHA-F-8751114,"800 PHARMACY FZ-LLC",Dubai,UAE,ACTIVE
DHA-F-0001466,"800 PHARMACY GOLDEN MILE TWO ( BR OF 800 PHARMACY L.L.C)",Dubai,UAE,ACTIVE
DHA-F-0046733,"800 PHARMACY LLC",Dubai,UAE,ACTIVE
DHA-F-0047877,"800 PHARMACY LLC BRANCH",Dubai,UAE,ACTIVE
DHA-F-0906167,"800 PHARMACY SARAY (BR OF 800 PHARMACY LLC)",Dubai,UAE,ACTIVE
DHA-F-6339254,"800PHARMA1 PHARMACY CO LLC",Dubai,UAE,ACTIVE
DHA-F-3635114,"A G CARE MEDICAL CENTER FZCO",Dubai,UAE,ACTIVE
DHA-F-1512957,"A M POLYCLINIC",Dubai,UAE,ACTIVE
DHA-F-3921649,"A P L PHARMACY L.L.C",Dubai,UAE,ACTIVE
DHA-F-1643696,"A V MIRACLE AESTHETIC CLINIC FZ LLC",Dubai,UAE,ACTIVE
DHA-F-0046993,"AABDULRAHIM KHALIFA MOHAMMED SAEED ALMEHAIRI",Dubai,UAE,ACTIVE
DHA-F-0046683,"AARUNAS BEAUTY CARE CENTER",Dubai,UAE,ACTIVE
DHA-F-0047204,"AB BUILDING CINTRACTING",Dubai,UAE,ACTIVE
DHA-F-0045513,"ABBARA POLYCLINIC",Dubai,UAE,ACTIVE
DHA-F-0047372,"ABCON INTERNATIONAL",Dubai,UAE,ACTIVE
DHA-F-0047873,"ABDALLA ABDELKARIM HUSSAIN ALMAZAM",Dubai,UAE,ACTIVE
DHA-F-0046949,"ABDELHAMEED MOHAMED ABDALLA",Dubai,UAE,ACTIVE
DHA-F-0047594,"ABDULAZIZ ABDULRAHIM MOHAMMAD SHARIF",Dubai,UAE,ACTIVE
DHA-F-0046797,"ABDULAZIZ KHALIFA BIN HUSSAIN HOME NURSING",Dubai,UAE,ACTIVE
DHA-F-0047792,"ABDULBAQI HASAN MOHAMED",Dubai,UAE,ACTIVE
DHA-F-0000125,"ABDULHADI EYE CENTER (BRANCH OF ABDULHADI FOR INV.& MANAGEMENT OF MEDICAL ENT.) LLC",Dubai,UAE,ACTIVE
DHA-F-0047145,"ABDULLA HUMAID AHMAD BINHAZAIM",Dubai,UAE,ACTIVE
DHA-F-0047678,"ABDULLA NASSER ABDULLA HUSSAIN LOTAH",Dubai,UAE,ACTIVE
DHA-F-0047846,"ABDULRAHIM ABDULLA ALKHAJA",Dubai,UAE,ACTIVE
DHA-F-0047421,"ABDULRAHIM AHMAD A RAHIM MUSTAFAWI",Dubai,UAE,ACTIVE
DHA-F-0002584,"ABEER AL NOOR PHARMACY LLC",Dubai,UAE,ACTIVE
DHA-F-6633537,"ABEER AL NOOR PHARMACY LLC  BRANCH",Dubai,UAE,ACTIVE
DHA-F-0002226,"ABEER AL NOOR POLYCLINIC LLC BRANCH",Dubai,UAE,ACTIVE
DHA-F-0002088,"ABEER ALNOOR POLYCLINIC LL BRANCH",Dubai,UAE,ACTIVE
DHA-F-4927956,"ABEER ALNOOR POLYCLINIC LLC Pharmacy-BRANCH",Dubai,UAE,ACTIVE
DHA-F-0045836,"ABEER PHARMACY",Dubai,UAE,ACTIVE
DHA-F-0046429,"ABELA& CO. TRANING & CONSULTATION",Dubai,UAE,ACTIVE
DHA-F-0045738,"ABI AL FIDAA MEDICAL CO. L.L.C",Dubai,UAE,ACTIVE
DHA-F-0047920,"ABNA AL AHLI PHARMACY",Dubai,UAE,ACTIVE
DHA-F-0045874,"ABR AL ADWIYA CO",Dubai,UAE,ACTIVE
DHA-F-0002126,"ABRIS MEDICAL CENTRE LLC",Dubai,UAE,ACTIVE
DHA-F-0002032,"ABRIS PHARMACY LLC",Dubai,UAE,ACTIVE
DHA-F-9685821,"ABRO CLINIC L.L.C",Dubai,UAE,ACTIVE
DHA-F-7478843,"ABSOLUTE WELLNESS MEDICAL CENTRE",Dubai,UAE,ACTIVE
DHA-F-5308110,"ABSOLUTE WILLNESS MEDICAL CENTRE",Dubai,UAE,ACTIVE
DHA-F-0047824,"ABU DHABI SPINE CENTRE L.L.C (WOORIDUL SPIN CENTER)",Dubai,UAE,ACTIVE
DHA-F-0000AHC,"ABU HAIL CLINIC",Dubai,UAE,ACTIVE
DHA-F-0045837,"ABU HAIL PHARMACY",Dubai,UAE,ACTIVE
DHA-F-8976864,"ABUHAMMOUR GASTROENTEROLOGY SAME DAY SURGERY CENTER FZ LLC",Dubai,UAE,ACTIVE
DHA-F-7279253,"ABWAB ALKHAIR PHARMACY",Dubai,UAE,ACTIVE
DHA-F-5203982,"ACACIA COMMUNITY PHARMACY",Dubai,UAE,ACTIVE
DHA-F-0000850,"ACACIA MEDICAL CENTRE",Dubai,UAE,ACTIVE
DHA-F-0001027,"ACCESS CLINIC ALQOUZ BR OF DM HEALTHCARE LLC",Dubai,UAE,ACTIVE
DHA-F-0000786,"ACCESS CLINIC BURDUBAI BR OF DM HEALTHCARE LLC",Dubai,UAE,ACTIVE
DHA-F-0002573,"ACCESS CLINIC DIC BR DM HEALTHCARE LLC",Dubai,UAE,ACTIVE
DHA-F-0001286,"ACCESS CLINIC DIP 2 BR OF DM HEALTHCARE LLC",Dubai,UAE,ACTIVE
DHA-F-0047552,"ACCESS CLINIC DIP BR OF DM HEALTHCARE LLC",Dubai,UAE,ACTIVE
DHA-F-0000553,"ACCESS CLINIC FREEZONE BR OF DM HEALTHCARE LLC",Dubai,UAE,ACTIVE
