provider_code,name,status
DHA-F-0046760,1847 EXECUTIVE GROOMING FOR MEN,ACTIVE
DHA-F-3803369,21ST CENTURY MEDICARE POLY CLINIC L.L.C,ACTIVE
DHA-F-0209327,23MD CLINIC L.L.C,ACTIVE
DHA-F-0000745,24 HOURS DENTAL CLINIC LLC,ACTIVE
DHA-F-6446544,24 SEVEN HOME CARE LLC,ACTIVE
DHA-F-0047306,32 CARE GREEN PHARMACY(L.L.C),ACTIVE
DHA-F-0047520,32 CARE MEDICAL CENTER (BR),ACTIVE
DHA-F-0047451,32 CARE MEDICAL CENTRE,ACTIVE
DHA-F-0047875,32 CARE ORANGE PHARMACY (L.L.C),ACTIVE
DHA-F-0046995,32 CARE PHARMACY (L.L.C),ACTIVE
DHA-F-0047780,32 CARE WHITE PHARMACY,ACTIVE
DHA-F-0000053,32 SMILE STONES DENTAL CARE CENTER L.LC,ACTIVE
DHA-F-2636660,360 MEDICAL CENTER,ACTIVE
DHA-F-6482933,800 PHARMA FZ-LLC,ACTIVE
DHA-F-1467802,800 PHARMA Pharmacy LLC,ACTIVE
DHA-F-2783042,800 PHARMACY ARJAN (BR OF 800 PHARMACY LLC),ACTIVE
DHA-F-4533492,800 PHARMACY CIRCLE (BR OF 800 PHARMACY LLC),ACTIVE
DHA-F-8751114,800 PHARMACY FZ-LLC,ACTIVE
DHA-F-0001466,800 PHARMACY GOLDEN MILE TWO ( BR OF 800 PHARMACY L.L.C),ACTIVE
DHA-F-0046733,800 PHARMACY LLC,ACTIVE
DHA-F-0047877,800 PHARMACY LLC BRANCH,ACTIVE
DHA-F-0906167,800 PHARMACY SARAY (BR OF 800 PHARMACY LLC),ACTIVE
DHA-F-6339254,800PHARMA1 PHARMACY CO LLC,ACTIVE
DHA-F-3635114,A G CARE MEDICAL CENTER FZCO,ACTIVE
DHA-F-1512957,A M POLYCLINIC,ACTIVE
DHA-F-3921649,A P L PHARMACY L.L.C,ACTIVE
DHA-F-1643696,A V MIRACLE AESTHETIC CLINIC FZ LLC,ACTIVE
DHA-F-0046993,AABDULRAHIM KHALIFA MOHAMMED SAEED ALMEHAIRI,ACTIVE
